paragraph,paragraph_number,polarity,subjectivity,sentiment_label,source_url
"The Governing Council today decided to keep the three key ECB interest rates unchanged. While the incoming information has been broadly consistent with the Governing Council's previous assessment of the inflation outlook, the upside risks to inflation and the downside risks to growth have intensified. The Governing Council is committed to setting monetary policy to ensure that inflation stabilises at the 2% target in the medium term.",1,0.02777777777777778,0.47222222222222227,positive,https://www.ecb.europa.eu/press/pr/date/2026/html/ecb.mp260430~81b7179e6f.en.html
"The war in the Middle East has led to a sharp increase in energy prices, pushing up inflation and weighing on economic sentiment. The implications of the war for medium-term inflation and economic activity will depend on the intensity and duration of the energy price shock and the scale of its indirect and second-round effects. The longer the war continues and the longer energy prices remain high, the stronger is the likely impact on broader inflation and the economy.",2,0.07250000000000001,0.4483333333333333,positive,https://www.ecb.europa.eu/press/pr/date/2026/html/ecb.mp260430~81b7179e6f.en.html
"The Governing Council remains well positioned to navigate the current uncertainty. The euro area entered this period of surging energy prices with inflation at around the 2% target, and the economy has shown resilience over recent quarters. Longer-term inflation expectations remain well anchored, although inflation expectations over shorter horizons have moved up significantly.",3,0.125,0.5083333333333333,positive,https://www.ecb.europa.eu/press/pr/date/2026/html/ecb.mp260430~81b7179e6f.en.html
"The Governing Council will closely monitor the situation and follow a data-dependent and meeting-by-meeting approach to determining the appropriate monetary policy stance. In particular, its interest rate decisions will be based on its assessment of the inflation outlook and the risks surrounding it, in light of the incoming economic and financial data, as well as the dynamics of underlying inflation and the strength of monetary policy transmission. The Governing Council is not pre-committing to a particular rate path.",4,0.2388888888888889,0.3444444444444444,positive,https://www.ecb.europa.eu/press/pr/date/2026/html/ecb.mp260430~81b7179e6f.en.html
Key ECB interest rates,5,0.0,1.0,neutral,https://www.ecb.europa.eu/press/pr/date/2026/html/ecb.mp260430~81b7179e6f.en.html
"The interest rates on the deposit facility, the main refinancing operations and the marginal lending facility will remain unchanged at 2.00%, 2.15% and 2.40% respectively.",6,0.08333333333333333,0.21666666666666667,positive,https://www.ecb.europa.eu/press/pr/date/2026/html/ecb.mp260430~81b7179e6f.en.html
Asset purchase programme (APP) and pandemic emergency purchase programme (PEPP),7,0.0,0.0,neutral,https://www.ecb.europa.eu/press/pr/date/2026/html/ecb.mp260430~81b7179e6f.en.html
"The APP and PEPP portfolios are declining at a measured and predictable pace, as the Eurosystem no longer reinvests the principal payments from maturing securities.",8,-0.2,0.5,negative,https://www.ecb.europa.eu/press/pr/date/2026/html/ecb.mp260430~81b7179e6f.en.html
***,9,0.0,0.0,neutral,https://www.ecb.europa.eu/press/pr/date/2026/html/ecb.mp260430~81b7179e6f.en.html
"The Governing Council stands ready to adjust all of its instruments within its mandate to ensure that inflation stabilises at its 2% target in the medium term and to preserve the smooth functioning of monetary policy transmission. Moreover, the Transmission Protection Instrument is available to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across all euro area countries, thus allowing the Governing Council to more effectively deliver on its price stability mandate.",10,0.29444444444444445,0.561111111111111,positive,https://www.ecb.europa.eu/press/pr/date/2026/html/ecb.mp260430~81b7179e6f.en.html
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:45 CET today.,11,0.0,0.1,neutral,https://www.ecb.europa.eu/press/pr/date/2026/html/ecb.mp260430~81b7179e6f.en.html
